Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment 2025,Carbon Performance Alignment 2027,Carbon Performance Alignment 2028,Carbon Performance Alignment 2035,Carbon Performance Alignment 2050,Years with targets,Previous Carbon Performance Alignment 2025,Previous Carbon Performance Alignment 2027,Previous Carbon Performance Alignment 2028,Previous Carbon Performance Alignment 2035,Previous Carbon Performance Alignment 2050,Previous Years with targets,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
Toshiba,Japan,JPN,Consumer Goods,No,large,JP3592200004,6897217,01/11/2023,04/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tosoh,Japan,JPN,Cement,No,medium,JP3595200001,6900289,01/12/2024,26/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,Yes,Yes,Yes,No,01/08/2024,16/07/2024,Cement_01/04/2022,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
TotalEnergies,France,FRA,Oil & Gas,Yes,large,FR0000120271,B15C557;B128WJ1,01/12/2024,05/04/2024,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01/10/2024,09/06/2024,Oil & Gas_01/10/2024,,National Pledges,,National Pledges,Below 2 Degrees,2025;2030;2050,Not Aligned,,,Not Aligned,National Pledges,2025;2030;2050,2022,Emissions intensity (gCO2e / MJ),,72.25830032,72.23234384,72.10672382,72.6238385,71.36502194,70.39628163,69.91241103,66.28208264,65.54893487,65.25500158,64.9610683,64.66713502,63.16892756,61.67072011,60.17251265,58.6743052,57.17609774,54.86729286,52.55848797,50.24968308,47.94087819,45.63207331,43.32326842,41.01446353,38.70565865,36.39685376,34.08804887,31.77924398,29.4704391,27.16163421,24.85282932,22.54402444,20.23521955,17.92641466,15.61760977,13.30880489,11.0,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. TPI has not made any further assumptions in order to project the company's 2025, 2030 and 2050 targets. The company’s Scope 3 targets are based on a fossil fuel equivalence approach  (see TPI’s Q&A document for a brief definition). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Toto,Japan,JPN,Industrials,No,medium,JP3596200000,6897466,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tourmaline Oil,Canada,CAN,Oil & Gas,No,medium,CA89156V1067,B3QJ0H8,01/12/2024,04/05/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyo Seikan Group,Japan,JPN,Steel,No,medium,JP3613400005,6900267,01/12/2024,22/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyo Suisan Kaisha,Japan,JPN,Food Producers,No,medium,JP3613000003,6899967,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,Yes,Yes,Yes,No,No,No,01/11/2024,02/10/2024,Food Producers_01/01/2024,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Carbon intensity (tCO2e/tonnes agricultural input),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses emissions intensity reduction targets using an emissions figure that is inconsistent with TPI’s methodology for this sector. The company does not disclose sufficient data to allow TPI to recalculate current carbon intensity according to TPI methodology or to estimate future Carbon Performance.
Toyota,Japan,JPN,Autos,Yes,large,JP3633400001,6900643;0851435,01/12/2024,26/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,01/10/2024,09/06/2024,Autos_01/11/2023,,National Pledges,,Below 2 Degrees,1.5 Degrees,2025;2030;2050,National Pledges,,,National Pledges,Below 2 Degrees,2025;2030;2050,2022,Average new vehicle emissions (grams of CO2 per kilometre [WLTP]),158.9906678,152.5581776,150.0453173,148.2365636,142.9396995,139.2803314,134.6803041,128.9961275,124.6956177,120.9809404,119.6138193,118.2466982,116.8795771,111.4700143,106.0604514,100.6508886,95.24132572,89.83176286,85.34017472,80.84858657,76.35699843,71.86541029,67.37382215,62.882234,58.39064586,53.89905772,49.40746957,44.91588143,40.42429329,35.93270514,31.441117,26.94952886,22.45794072,17.96635257,13.47476443,8.983176286,4.491588143,0.0,"The company's target applies to a broader scope. TPI assumes that the company’s target applies as equally to its use of sold product emissions intensity of newly sold passenger vehicles. TPI’s benchmarks harmonise emissions under the EU’s Worldwide Harmonized Light Vehicles Test Procedure (WLTP). While formally adopted in September 2017, manufacturers systematically began reporting emission performance in WLTP in the reporting year 2020. We rely on conversion factors published by the ICCT to translate companies’ historical intensities from NEDC to WLTP, but previous assessments using NEDC are still accessible on our tool. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Toyota Industries,Japan,JPN,Consumer Goods,No,large,JP3634600005,6900546,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota Tsusho,Japan,JPN,Coal Mining,No,large,JP3635000007,6900580,01/12/2024,28/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tractor Supply,United States of America,USA,Consumer Services,No,medium,US8923561067,2900335,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trane Technologies,United States of America,USA,Industrials,Yes,large,IE00BK9ZQ967,BK9ZQ96,01/12/2024,05/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransAltaoration,Canada,CAN,Electricity Utilities,No,small,CA89346D1078,2901628,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransDigm,United States of America,USA,Industrials,No,large,US8936411003,B11FJK3,01/12/2024,05/02/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transocean,United States of America,USA,Oil & Gas (Other),No,small,CH0048265513,B3KFWW1,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transurban Group,Australia,AUS,Industrials,No,large,AU000000TCL6,6200882,01/12/2024,05/01/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travelers Cos,United States of America,USA,Financials,No,large,US89417E1091,2769503,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trelleborg,Sweden,SWE,Industrials,No,medium,SE0000114837,4902384,01/12/2024,05/01/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trex Company,United States of America,USA,Industrials,No,small,US89531P1057,2483074,01/12/2024,04/03/2024,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trina Solar,China,CHN,Oil & Gas (Other),No,large,CNE100003ZR0,BMGX8H9,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripod Technology Corp,Taiwan,TWN,Industrials,No,small,TW0003044004,6305721,01/12/2024,25/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,Yes,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tronox,United States of America,USA,Chemicals,No,small,GB00BJT16S69,BJT16S6,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truist Financial Corporation,United States of America,USA,Financials,No,large,US89832Q1094,BKP7287,01/12/2024,05/02/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsingtao Brewing,China,CHN,Consumer Goods,No,large,CNE0000009Y3,6902854,01/12/2024,02/01/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Investments of India,India,IND,Industrials,No,large,INE974X01010,BD3R8D7,01/12/2024,22/02/2024,1,new,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tung Ho Steel,Taiwan,TWN,Steel,No,small,TW0002006004,6907310,01/12/2024,19/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tupras (T Petr Raf),Turkey,TUR,Oil & Gas (Other),No,large,TRATUPRS91E8,B03MYT9,01/12/2024,05/06/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish Airlines,Turkey,TUR,Airlines,No,medium,TRATHYAO91M5,B03MYK0,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,1.5 Degrees,,Not Aligned,Not Aligned,2029,1.5 Degrees,,,Not Aligned,Not Aligned,2029,2022,Carbon intensity (gCO2 / RTK),,939.4563179,964.7202276,938.0204144,881.4980498,859.444931,826.2733573,745.1311843,776.557219,768.1856664,757.2115855,746.2375045,735.2634236,724.2893426,713.3152617,702.3411807,691.3670998,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set additional targets for 2050 to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology (which excludes offsets in the aviation sector). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Tyson Foods,United States of America,USA,Food Producers,No,medium,US9024941034,#N/A,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Not Applicable,No,Yes,No,Yes,No,No,No,01/11/2024,02/10/2024,Food Producers_01/01/2024,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,Carbon intensity (tCO2e/tonnes agricultural input),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on Scope 3 emissions nor used agricultural inputs which TPI can use to estimate historical or future Carbon Performance. The company has set one or more targets to reduce its emissions intensity, but they could not be included in this assessment."
U-Ming,Taiwan,TWN,Shipping,No,medium,TW0002606001,6911377,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,01/02/2024,24/11/2023,Shipping_01/02/2022,,1.5 Degrees,,1.5 Degrees,International Pledges,2030,1.5 Degrees,,,1.5 Degrees,Below 2 Degrees,2023;2030;2050,2022,Carbon intensity (gCO2 / t-km),,,3.345380814,3.917103855,3.651018643,3.672990109,3.470348842,3.02,3.29,2.98,2.95887282,2.93774564,2.916618461,2.895491281,2.874364101,2.853236921,2.832109742,2.810982562,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The company does not disclose sufficient data to allow TPI to recalculate current carbon intensity according to TPI methodology or to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
UACJ,Japan,JPN,Aluminium,No,small,JP3826900007,B0N9WZ2,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,01/05/2024,06/05/2024,Aluminium_01/07/2023,,Not Assessed,,Not Assessed,Not Assessed,,Not Assessed,,,Not Assessed,Not Assessed,,,Carbon intensity (tCO2e / t aluminium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company’s activities don't fit the scope of TPI’s Carbon Performance assessment of this sector, hence the company is not assessed. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
UBS Group,Switzerland,CHE,Financials,No,large,CH0244767585,BRJL176,01/12/2024,05/04/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC RUSAL,Hong Kong,HKG,Aluminium,No,large,JE00B5BCW814,,,,,,,,,,,,,,,,,,,,,,,,,01/02/2019,18/12/2018,Aluminium_01/02/2019,,,,,Not Aligned,,,,,,,,2017,Carbon intensity (tCO2e / t aluminium),,7.56,7.81,7.7,6.94,6.94,6.93,6.93,6.92,6.92,6.91,6.91,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,The company's ratio of alumina to primary aluminium production is assumed to remain unchanged from 2017 onward.
UDR,United States of America,USA,Financials,No,medium,US9026531049,2727910,01/12/2024,27/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGI Corp Hlds,United States of America,USA,Utilities,No,small,US9026811052,2910118,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPL,India,IND,Chemicals,No,large,INE628A01036,B0L0W35,01/12/2024,25/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPM-Kymmene,Finland,FIN,Paper,No,large,FI0009005987,5051252,01/12/2024,05/01/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,No,01/08/2024,03/06/2024,Paper_01/02/2021,,Below 2 Degrees,,Below 2 Degrees,Below 2 Degrees,2030,2 Degrees,,,Below 2 Degrees,Below 2 Degrees,2030;2040,2023,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",0.56739446,0.549959534,0.582854065,0.564336905,0.555759777,0.538575916,0.542666737,0.569313739,0.500187447,0.555245463,0.477592478,0.45149142,0.425390361,0.399289302,0.373188244,0.347087185,0.320986126,0.294885068,0.267134317,0.239383567,0.211632817,0.183882066,0.156131316,0.128380566,0.100629815,0.072879065,0.045128315,0.017377564,,,,,,,,,,,"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to the TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the company’ s pulp, paper and paperboard production grows according to the global growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
US Bancorp,United States of America,USA,Financials,No,large,US9029733048,2736035,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Foods,United States of America,USA,Food Producers,No,small,US9120081099,BYVFC94,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,No,No,No,01/11/2024,02/10/2024,Food Producers_01/01/2024,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Carbon intensity (tCO2e/tonnes agricultural input),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on Scope 3 emissions nor used agricultural inputs which TPI can use to estimate historical or future Carbon Performance. The company has set one or more targets to reduce its emissions intensity, but they could not be included in this assessment."
Ube Industries,Japan,JPN,Cement,No,medium,JP3158800007,6910705,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/08/2024,16/07/2024,Cement_01/04/2022,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Uber Technologies,United States of America,USA,Consumer Services,No,large,US90353T1007,BK6N347,01/12/2024,04/05/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulta Beauty,United States of America,USA,Consumer Services,No,medium,US90384S3031,B28TS42,01/12/2024,23/04/2024,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UltraTech Cement,India,IND,Cement,Yes,large,INE481G01011,B01GZF6,01/12/2024,19/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,Yes,01/10/2024,09/06/2024,Cement_01/10/2024,,Below 2 Degrees,,Below 2 Degrees,1.5 Degrees,2031;2050,Below 2 Degrees,,,Below 2 Degrees,1.5 Degrees,2029;2031;2050,2022,Carbon intensity (tonnes of CO2 per tonne of cementitious product),0.63354,0.64352,0.633,0.632,0.626,0.619,0.61376,0.597,0.582,0.557,0.546373333,0.535746667,0.52512,0.514493333,0.503866667,0.49324,0.482613333,0.471986667,0.46136,0.437077895,0.412795789,0.388513684,0.364231579,0.339949474,0.315667368,0.291385263,0.267103158,0.242821053,0.218538947,0.194256842,0.169974737,0.145692632,0.121410526,0.097128421,0.072846316,0.048564211,0.024282105,0.0,"The company has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Umicore,Belgium,BEL,Chemicals,No,medium,BE0974320526,BF44466,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uni-Charm,Japan,JPN,Consumer Goods,No,large,JP3951600000,6911485,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uni-president Enterprises,Taiwan,TWN,Food Producers,No,large,TW0001216000,6700393,01/12/2024,16/02/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,01/11/2024,02/10/2024,Food Producers_01/01/2024,,Not Aligned,,Not Aligned,Not Aligned,,Not Aligned,,,Not Aligned,Not Aligned,,2022,Carbon intensity (tCO2e/tonnes agricultural input),,,,,,,,2.764067482,2.75544725,2.689490126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company does not disclose any emissions reduction target which allows TPI to estimate future Carbon Performance. Based on the company's methodology and emissions factors database used, TPI understands that agricultural and Land Use, Land Use Change, and Forestry (LULUCF) GHG emissions are included in the reported Scope 3 Category 1 emissions and therefore, also included in the company's Scope 3 emissions reduction targets."
Unibail Rodamco Westfield,France,FRA,Financials,No,medium,FR0013326246,BF2PQ09,01/12/2024,19/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
